Account_Name,2020,2021
Total Assets,877835636,963198403.6
Total Deposit liabilities,536639675,584385536
Total Equity,276548555,324174856.4
Total Liabilities,601287079,639023545.3
Cash & Cash Equivalent,130055917,99095632
Financial Investments,83566241,148647561
Gross Loan Portfolio,387519764,453806714.3
Net Loan Portfolio,363038850,428311564.8
Current Year's Surplus,30352934,30754436.29
Share Capital,43405773,56958594.01
Statutory Reserve,47517372,55205981.07
