Account Name,2019,2020,2021,2022,2023,Account_Source,2023*
Financial Investments,0,"355,548,222","447,346,472","122,325,438","125,440,000",Jamii,
Gross Loan Portfolio,0,"3,556,155,701","4,318,047,024","4,960,112,058","4,982,550,600",Jamii,
Net Loan Portfolio,0,"3,248,349,650","3,063,015,547","3,705,080,581","3,721,440,000",Jamii,
Current Year's Surplus,0,"462,063,290","117,708,139","341,691,000","85,241,105",Jamii,
Share Capital,0,"446,959,264","1,091,106,575","535,449,040","545,220,300",Jamii,
Statutory Reserve,0,"181,817,320","181,817,320","281,223,963","281,223,963",Jamii,
Total Assets,"412,300,818.84","392,978,893.46","390,333,250.97","453,443,496.04","421,806,711.82",Kenya Achievas,
Total Deposit liabilities,"194,093,679.00","161,826,693.19","159,987,193.76","277,015,576.80","183,577,223.74",Kenya Achievas,
Total Equity,"105,761,017.00","171,427,377.93","184,897,762.71","164,804,805.68","203,156,911.68",Kenya Achievas,
Total Liabilities,"306,539,801.84","221,551,515.53","205,435,488.26","288,638,690.36","218,649,800.14",Kenya Achievas,
Cash & Cash Equivalent,"70,985,223.00","38,341,912.77","28,993,165.31","52,603,285.81","33,993,917.77",Kenya Achievas,
Financial Investments,"44,390,000.00","83,871,738.59","58,635,118.87","47,484,117.43","39,903,530.86",Kenya Achievas,
Gross Loan Portfolio,"181,659,592.98","146,599,270.00","174,987,267.88","362,796,441.40","230,772,846.46",Kenya Achievas,
Net Loan Portfolio,"174,526,543.00","119,582,723.61","148,161,380.41","323,727,897.14","203,760,744.43",Kenya Achievas,
Current Year's Surplus,"487,234.00","5,367,586.27","11,401,373.05",0,"13,119,960.50",Kenya Achievas,
Share Capital,"37,090,876.00","118,844,476.36","125,122,050.09","67,256,355.38","139,571,307.88",Kenya Achievas,
Statutory Reserve,"10,576,101.00","8,663,255.00","8,922,657.00","16,572,514.97","9,788,098.00",Kenya Achievas,
Total Assets,"8,021,456,200","9,103,337,522","9,103,337,522","9,976,326,084","10,543,210,000",Kenya Bankers,
Total Deposit liabilities,"6,120,550,000","6,662,966,562","6,845,210,400","7,100,000,000","7,500,000,000",Kenya Bankers,
Total Equity,"950,440,000","1,402,167,718","1,199,743,992","1,300,000,000","1,500,000,000",Kenya Bankers,
Total Liabilities,"7,071,016,200","7,701,169,804","7,903,593,530","8,200,000,000","8,700,000,000",Kenya Bankers,
Cash & Cash Equivalent,"150,200,000","195,018,007","136,268,767","140,000,000","160,000,000",Kenya Bankers,
Financial Investments,"70,000,000","76,980,777","81,097,852","85,000,000","90,000,000",Kenya Bankers,
Gross Loan Portfolio,"6,200,500,000","6,902,718,973","7,026,325,423","7,500,000,000","8,100,000,000",Kenya Bankers,
Net Loan Portfolio,"5,800,400,000","6,454,710,541","6,747,324,365","7,200,000,000","7,800,000,000",Kenya Bankers,
Current Year's Surplus,"65,000,000","88,400,500","94,210,300","110,000,000","130,000,000",Kenya Bankers,
Share Capital,"420,500,000","468,993,626","472,219,391","480,000,000","500,000,000",Kenya Bankers,
Statutory Reserve,"145,000,000","160,648,412","173,217,839","185,000,000","200,000,000",Kenya Bankers,
