Account_Name,2019,2020
Total Assets,144354140,169922034
Total Deposit liabilities,89619050,103508022
Total Equity,49513013,57224444
Total Liabilities,94841150,112697589
Cash & Cash Equivalent,20169731,14090332
Financial Investments,661303,4675303
Gross Loan Portfolio,57365819,87521945.39
Net Loan Portfolio,56045241,85182900
Current Year's Surplus,71455,1179127.18
Share Capital,49513013,57224444
Statutory Reserve,5484972,6919059.95
