Account_Name,2021,2022
Total Assets,66045912,74532015.25
Total Deposit liabilities,47580831,51641674
Total Equity,15603894,19350690
Total Liabilities,50442019,55181326
Cash & Cash Equivalent,19799397,20884959
Financial Investments,25330,24550
Gross Loan Portfolio,47572950,52516192
Net Loan Portfolio,37252147,44088836.25
Current Year's Surplus,1473062,1526374
Share Capital,10271434,10720832
Statutory Reserve,,4030156
