Account_Name,2020,2021,2022
Total Assets,,16464548906,19565710996
Total Deposit liabilities,,11971456880,14503634837
Total Equity,,3076818574,3228035219
Total Liabilities,,13489653122,16337675777
Cash & Cash Equivalent,,2906031020,2884792742
Financial Investments,,150605194,1151889435
Gross Loan Portfolio,,13312361672,15230905643
Net Loan Portfolio,,12631246697,14380342551
Current Year's Surplus,,143222812,27219086
Share Capital,,1399419707,1443040168
Statutory Reserve,,361774332,441372924
