Account_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Assets,,,,,,,,,,,,,9790508652
Total Deposit liabilities,,,,,,,,,,,,,5774547349
Total Equity,,,,,,,,,,,,,
Total Liabilities,,,, ,,,,,,,,,
Cash & Cash Equivalent,,,,,,,,,,,,,
Financial Investments,,,,,,,,,,,,,92368296
Gross Loan Portfolio,,,,,,,,,,,,,9734915300
Net Loan Portfolio,,,,,,,,,,,,,8571140428
Current Year's Surplus,,,,,,,,,,,,,
Share Capital,,,,,,,,,,,,,
Statutory Reserve,,,,,,,,,,,,,480787154
